,model,gsm_var,language,accuracy
0,Llama-3.1-8B,v1,Danish,0.072
1,Llama-3.1-8B,v10,Danish,0.082
2,Llama-3.1-8B,v11,Danish,0.072
3,Llama-3.1-8B,v12,Danish,0.093
4,Llama-3.1-8B,v13,Danish,0.082
5,Llama-3.1-8B,v14,Danish,0.093
6,Llama-3.1-8B,v15,Danish,0.093
7,Llama-3.1-8B,v16,Danish,0.093
8,Llama-3.1-8B,v17,Danish,0.082
9,Llama-3.1-8B,v18,Danish,0.062
10,Llama-3.1-8B,v19,Danish,0.093
11,Llama-3.1-8B,v2,Danish,0.062
12,Llama-3.1-8B,v20,Danish,0.124
13,Llama-3.1-8B,v3,Danish,0.103
14,Llama-3.1-8B,v4,Danish,0.052
15,Llama-3.1-8B,v5,Danish,0.041
16,Llama-3.1-8B,v6,Danish,0.113
17,Llama-3.1-8B,v7,Danish,0.144
18,Llama-3.1-8B,v8,Danish,0.103
19,Llama-3.1-8B,v9,Danish,0.144
