,model,gsm_var,language,accuracy
0,OLMo-1B-hf,v1,English,0.0
1,OLMo-1B-hf,v10,English,0.0
2,OLMo-1B-hf,v11,English,0.021
3,OLMo-1B-hf,v12,English,0.0
4,OLMo-1B-hf,v13,English,0.0
5,OLMo-1B-hf,v14,English,0.0
6,OLMo-1B-hf,v15,English,0.0
7,OLMo-1B-hf,v16,English,0.0
8,OLMo-1B-hf,v17,English,0.0
9,OLMo-1B-hf,v18,English,0.0
10,OLMo-1B-hf,v19,English,0.0
11,OLMo-1B-hf,v2,English,0.0
12,OLMo-1B-hf,v20,English,0.0
13,OLMo-1B-hf,v3,English,0.01
14,OLMo-1B-hf,v4,English,0.0
15,OLMo-1B-hf,v5,English,0.0
16,OLMo-1B-hf,v6,English,0.0
17,OLMo-1B-hf,v7,English,0.01
18,OLMo-1B-hf,v8,English,0.01
19,OLMo-1B-hf,v9,English,0.01
