,model,gsm_var,language,accuracy
0,Pleias-1.2b-Preview,v1,English,0.0
1,Pleias-1.2b-Preview,v10,English,0.0
2,Pleias-1.2b-Preview,v11,English,0.01
3,Pleias-1.2b-Preview,v12,English,0.01
4,Pleias-1.2b-Preview,v13,English,0.01
5,Pleias-1.2b-Preview,v14,English,0.0
6,Pleias-1.2b-Preview,v15,English,0.0
7,Pleias-1.2b-Preview,v16,English,0.0
8,Pleias-1.2b-Preview,v17,English,0.0
9,Pleias-1.2b-Preview,v18,English,0.0
10,Pleias-1.2b-Preview,v19,English,0.01
11,Pleias-1.2b-Preview,v2,English,0.0
12,Pleias-1.2b-Preview,v20,English,0.0
13,Pleias-1.2b-Preview,v3,English,0.0
14,Pleias-1.2b-Preview,v4,English,0.0
15,Pleias-1.2b-Preview,v5,English,0.0
16,Pleias-1.2b-Preview,v6,English,0.0
17,Pleias-1.2b-Preview,v7,English,0.0
18,Pleias-1.2b-Preview,v8,English,0.0
19,Pleias-1.2b-Preview,v9,English,0.0
